29,Coryphaenoides armatus
29,Coua cristata
29,Glironia venusta
29,Hipposideros vittatus
29,Lionycteris spurrelli
29,Maylandia callainos
29,Maylandia lombardoi
29,Monachus monachus
29,Platycephalus bassensis
29,Plestiodon gilberti
29,Poecilogale albinucha
29,Siva cyanouroptera
29,Solenodon cubanus
29,Thinocorus orbignyianus
29,Tokudaia osimensis
29,Zanclorhynchus spinifer
30,Aerodramus vanikorensis
30,Bucorvus abyssinicus
30,Camarhynchus psittacula
30,Cavia tschudii
30,Dasyatis sabina
30,Elaphe cantoris
30,Epigonus telescopus
30,Ficedula semitorquata
30,Macroderma gigas
30,Macrotus waterhousii
30,Odontesthes humensis
30,Pogonoperca punctata
30,Prionodon linsang
30,Pristolepis fasciata
30,Pseudochondrostoma willkommii
30,Pterocles namaqua
30,Pteronotus pusillus
30,Recurvirostra americana
30,Rhabdophis himalayanus
30,Rhinolophus shameli
30,Rhinopomastus cyanomelas
30,Steatocranus casuarius
31,Achondrostoma occidentale
31,Daptrius ater
31,Eira barbara
31,Elephantulus rufescens
31,Gardnerycteris crenulatum
31,Hebius atemporale
31,Hystrix brachyura
31,Lissodelphis borealis
31,Lycalopex gymnocercus
31,Nannopterum auritus
31,Pantherophis slowinskii
31,Pedionomus torquatus
31,Pseudochirops cupreus
31,Pteronotus macleayii
31,Pyrrhula erythaca
31,Rollulus rouloul
31,Sillago analis
31,Sylvia nana
31,Triaenops persicus
31,Trimeresurus flavomaculatus
31,Urocitellus armatus
31,Vampyressa pusilla
32,Amazophrynella minuta
32,Euroscaptor mizura
32,Gonyosoma prasinum
32,Hemiprocne mystacea
32,Hypoatherina tsurugae
32,Molothrus ater
32,Monopterus cuchia
32,Scorpaenichthys marmoratus
32,Sicista tianshanica
32,Sturnira oporaphilum
32,Tolypeutes tricinctus
32,Topaza pella
33,Aphanius dispar
33,Aplocheilus lineatus
33,Artibeus concolor
33,Azemiops kharini
33,Boiga guangxiensis
33,Chloroscombrus chrysurus
33,Dasyurus albopunctatus
33,Diplobatis ommata
33,Loxioides bailleui
33,Micropsitta finschii
33,Opisthotropis balteata
33,Salaria pavo
33,Sinibotia reevesae
33,Telespiza cantans
33,Tockus camurus
33,Xyrichtys novacula
34,Alticola strelzowi
34,Amazona ventralis
34,Chionis albus
34,Coracias caudatus
34,Epinephelus tauvina
34,Fossa fossana
34,Micronycteris minuta
34,Nyctyornis amictus
34,Psittacula alexandri
34,Scapanus townsendii
34,Scincella reevesii
34,Scopus umbretta
34,Scyliorhinus stellaris
34,Sinonatrix aequifasciata
34,Tamandua mexicana
35,Amazona autumnalis
35,Amazona leucocephala
35,Artibeus phaeotis
35,Calyptophractus retusus
35,Chiroderma villosum
35,Colius colius
35,Coreius guichenoti
35,Dacnomys millardi
35,Eptatretus cirrhatus
35,Hoplomys gymnurus
35,Micrastur semitorquatus
35,Paraechinus aethiopicus
35,Pareas carinatus
35,Pharomachrus auriceps
35,Rhabdophis swinhonis
35,Xiphophorus xiphidium
36,Bassariscus astutus
36,Certhidea fusca
36,Colinus cristatus
36,Crotophaga sulcirostris
36,Cynocephalus volans
36,Dasypus hybridus
36,Deltistes luxatus
36,Elaphe zoigeensis
36,Euplectes orix
36,Gnathanodon speciosus
36,Harpagifer antarcticus
36,Hydrobates tethys
36,Ictonyx striatus
36,Microgadus tomcod
36,Nycteris thebaica
36,Ochotona huangensis
36,Oligocottus maculosus
36,Polyprion americanus
36,Vampyressa thyone
37,Anguilla mossambica
37,Anhinga anhinga
37,Apaloderma narina
37,Calomys laucha
37,Camarhynchus pauper
37,Graphiurus murinus
37,Jacana spinosa
37,Larus occidentalis
37,Lycodon meridionalis
37,Mellivora capensis
37,Sarcoramphus papa
37,Streptoprocne zonaris
37,Thamnophilus nigrocinereus
37,Trimeresurus purpureomaculatus
37,Vormela peregusna
37,Xiphirhynchus superciliaris
38,Basilichthys microlepidotus
38,Calidris alpina
38,Dinomys branickii
38,Hebius sauteri
38,Hemignathus stejnegeri
38,Larus michahellis
38,Leopardus jacobita
38,Lethrinus harak
38,Nyctibius grandis
38,Ochotona macrotis
38,Oligodon albocinctus
38,Oligodon lacroixi
38,Priodontes maximus
38,Rhabdophis guangdongensis
38,Scotophilus heathii
39,Alexandromys middendorffii
39,Ardenna grisea
39,Artibeus intermedius
39,Babyrousa babyrussa
39,Chelidonichthys lucernus
39,Colobus polykomos
39,Hemignathus flavus
39,Hipposideros pratti
39,Melamprosops phaeosoma
39,Pogonocichla stellata
39,Psophia crepitans
39,Pungitius platygaster
39,Rallus limicola
39,Sminthopsis douglasi
39,Symphysodon haraldi
39,Thamnaconus modestus
39,Trematocara nigrifrons
39,Urocitellus brunneus
40,Anthropoides paradiseus
40,Brienomyrus brachyistius
40,Bucco macrodactylus
