Diceros bicornis
Equus burchellii
Equus grevyi
Equus hemionus
Equus kiang
Equus zebra
Haplochromis brownae
Haplochromis chilotes
Heterotilapia buttikoferi
Julidochromis transcriptus
Labidochromis caeruleus
Lamprologus ocellatus
Lamprologus stappersi
Lutjanus erythropterus
Maylandia callainos
Maylandia lombardoi
Melanochromis auratus
Neochromis nigricans
Neolamprologus brevis
Neolamprologus leleupi
Neolamprologus similis
Rhinoceros unicornis
Spathodus erythrodon
Steatocranus casuarius
Strix aluco
Tapirus bairdii
Tapirus indicus
Tapirus pinchaque
Tapirus terrestris
Tropheus duboisi
Variabilichromis moorii
Xenotilapia ochrogenys
Xenopus mellotropicalis
Acris crepitans
Agalychnis callidryas
Aglyptodactylus madagascariensis
Allobates femoralis
Alsodes gargola
Alytes obstetricans
Amietia lubrica
Amolops loloensis
Amolops ricketti
Anaxyrus punctatus
Anodonthyla boulengerii
Aplastodiscus perviridis
Arthroleptis poecilonotus
Ascaphus truei
Astylosternus diadematus
Atelognathus reverberii
Aubria subsigillata
Barycholos pulcher
Batrachyla taeniata
Bombina fortinuptialis
Bombina orientalis
Boophis madagascariensis
Breviceps macrops
Buergeria oxycephala
Callulina kreffti
Callulops wilhelmanus
Calyptocephallela gayi
Ceratophrys cornuta
Chiasmocleis ventrimaculata
Conraua crassipes
Cophixalus cheesmanae
Cornufer pelewensis
Craugastor augusti
Craugastor fitzingeri
Crinia signifera
Dendropsophus parviceps
Discoglossus pictus
Duttaphrynus melanostictus
Dyscophus antongilii
Elachistocleis ovalis
Eleutherodactylus planirostris
Eupsophus calcaratus
Fejervarya limnocharis
Gastrophryne olivacea
Gastrotheca weinlandii
Heleophryne purcelli
Hemisus marmoratus
Hoplobatrachus tigerinus
Hyla chinensis
Hylomantis lemur
Hyloscirtus lindae
Hyloxalus jacobuspetersi
Hyperolius bolifambae
Hypodactylus brunneus
Incilius valliceps
Insuetophrynus acarpicus
Kalophrynus pleurostigma
Kaloula pulchra
Kurixalus odontotarsus
Leiopelma hochstetteri
Leptobrachium chapaense
Leptodactylodon ovatus
Leptodactylus albilabris
Leptolalax alpinus
Limnodynastes salmini
Limnonectes fujianensis
Lithodytes lineatus
Liurana xizangensis
Mantophryne lateralis
Megophrys feae
Megophrys microstoma
Melanophryniscus stelzneri
Microhyla heymonsi
Mixophyes coggeri
Nyctibates corrugatus
Nyctimystes kubori
Odontophrynus occidentalis
Odorrana schmackeri
Oreolalax jingdongensis
Osteocephalus taurinus
Paradoxophyla palmata
Pelobates syriacus
Pelodytes ibericus
Petropedetes euskircheni
Phlyctimantis boulengeri
Phrynobatrachus natalensis
Phrynomantis microps
Phyllomedusa tomopterna
Physalaemus cuvieri
Pipa parva
Pipa pipa
Pleurodema somuncurensis
Pleurodema thaul
Polypedates megacephalus
Pristimantis thymelensis
Proceratophrys boiei
Pseudhymenochirus merlini
Pseudis paradoxa
Ptychadena oxyrhynchus
Quasipaa spinosa
Rana amurensis
Rana berlandieri
Rana chensinensis
Rana draytonii
Rana virgatipes
Ranitomeya imitator
Rhacophorus dennysi
Rhinella marina
Rhinophrynus dorsalis
Scaphiophryne boribory
Scaphiophryne marmorata
Scaphiopus couchii
Schismaderma carens
Scinax ruber
Scotobleps gabonicus
Scutiger gongshanensis
Spea intermontana
Spea multiplicata
Strabomantis sulcatus
Strongylopus grayii
Sylvirana guentheri
Sylvirana latouchii
Telmatobius vellardi
Trichobatrachus robustus
Xenophrys omeimontis
Xenopus epitropicalis
Xenopus fraseri
Amazophrynella minuta
Anaxyrus canorus
Barbourula busuangensis
Batrachyla leptopus
Emydura macquarii
Gastrotheca pseustes
Glyptemys insculpta
Hypsiboas fasciatus
Leptopelis parkeri
Odontobatrachus natator
Otophryne pyburni
Peltophryne peltocephalus
Rentapia hosii
Rhinoderma darwinii
Stereocyclops incrassatus
Telmatobius macrostomus
Thalasseus bergii
Thalasseus bernsteini
Carassius gibelio
Clarias batrachus
Phacochoerus africanus
Achirus lineatus
Anguilla marmorata
Cervus nippon
Chanos chanos
Chelon labrosus
Chionodraco hamatus
Glyptosternon maculatum
Gymnocypris eckloni
Hippocampus abdominalis
Hylobates lar
Labeo catla
Larus michahellis
Lepidochelys olivacea
Lutjanus peru
Nannospalax ehrenbergi
Nibea albiflora
Odontesthes humensis
Pagothenia borchgrevinki
Pleuragramma antarctica
Prionace glauca
Protopterus annectens
Rana temporaria
Sapajus apella
Sillago sihama
Tachysurus vachellii
Thamnophis elegans
Xiphias gladius
Notophthalmus viridescens
Xiphophorus xiphidium
Altolamprologus compressiceps
Amia calva
Aulonocranus dewindti
Bathybates graueri
Boulengerochromis microlepis
Callochromis macrops
Callorhinchus callorynchus
Cephaloscyllium umbratile
Ctenochromis horei
Cynotilapia pulpican
Cyphotilapia gibberosa
Cyprichromis leptosoma
Eretmodus cyanostictus
Gnathochromis permaxillaris
Gnathochromis pfefferi
Grammatotria lemairii
Haplochromis sauvagei
Haplotaxodon microlepis
Julidochromis ornatus
Lamprologus callipterus
Lepidiolamprologus elongatus
Lepidosiren paradoxa
Lepisosteus osseus
Lethenteron reissneri
Limnochromis abeelei
Lobochilotes labiatus
Neochromis rufocaudalis
Neolamprologus caudopunctatus
Neolamprologus modestus
Neolamprologus prochilus
Neolamprologus pulcher
Neolamprologus tetracanthus
Ophthalmotilapia ventralis
Perissodus microlepis
Polypterus ornatipinnis
Potamotrygon motoro
Pseudocrenilabrus philander
Rhamphochromis esox
Serranochromis macrocephalus
Siganus guttatus
Tilapia sparrmanii
Trematocara nigrifrons
Trematochromis benthicola
Tropheus moorii
Tylochromis polylepis
Xenotilapia spiloptera
Cheirogaleus medius
Diplobatis ommata
Eulemur albifrons
Eulemur flavifrons
Eulemur macaco
Eulemur mongoz
Eulemur rufus
Limanda limanda
Microgadus tomcod
Mugil curema
Nycticebus coucang
Parophrys vetulus
Pleuronectes platessa
Varecia rubra
Varecia variegata
Lagothrix lagotricha
Lemur catta
Macaca arctoides
Nomascus gabriellae
Saguinus labiatus
Aotus azarai
Ateles belzebuth
Colobus polykomos
Macaca sylvanus
Mandrillus sphinx
Pygathrix cinerea
Chionodraco rastrospinosus
Notothenia neglecta
Tautogolabrus adspersus
Acipenser naccarii
Aechmophorus occidentalis
Afrotis afra
Anseranas semipalmata
Anthropoides paradiseus
Antigone canadensis
Aotus trivirgatus
Aramus guarauna
Ardeotis kori
Asthenes humicola
Asthenes patagonica
Attagis gayi
Balaena mysticetus
Balaenoptera physalus
Balearica pavonina
Botaurus lentiginosus
Bufo japonicus
Burhinus bistriatus
Caiman crocodilus
Callipepla gambelii
Capreolus capreolus
Carassius carassius
Cepphus columba
Certhiaxis cinnamomeus
Certhiaxis mustelinus
Chelodina longicollis
Ciconia maguari
Cirrhinus mrigala
Crocodylus niloticus
Crocuta crocuta
Ctenophorus ornatus
Dasyatis sabina
Elephas maximus
Eptatretus stoutii
Eupodotis senegalensis
Fulica americana
Gallinago gallinago
Gloydius intermedius
Grus carunculatus
Gyalophylax hellmayri
Gymnocypris przewalskii
Haematopus palliatus
Heliornis fulica
Himantopus mexicanus
Iguana iguana
Jacana spinosa
Jaculus orientalis
Larus occidentalis
Laterallus melanophaius
Laticauda semifasciata
Lepus europaeus
Leucophaeus atricilla
Limosa fedoa
Lutjanus argentiventris
Meles meles
Mogera imaizumii
Monopterus cuchia
Morone americana
Mycteria americana
Neoceratodus forsteri
Nyctereutes procyonoides
Otaria byronia
Pachycara brachycephalum
Panthera leo
Paralichthys lethostigma
Pedionomus torquatus
Pelophylax ridibundus
Phalaropus tricolor
Phoca largha
Phocoena phocoena
Platalea ajaja
Plegadis chihi
Pleurodeles waltl
Pluvialis dominica
Pluvianus aegyptius
Podilymbus podiceps
Polypedates maculatus
Porphyrio porphyrio
Porzana carolina
Psammomys obesus
Pseudoseisura lophotes
Psophia crepitans
Pterocles bicinctus
Python molurus
Rallus longirostris
Ranodon sibiricus
Rhinoptilus africanus
Rostratula benghalensis
Rugosa rugosa
Rynchops niger
Scaphirhynchus albus
Schizothorax oconnori
Schoeniophylax phryganophilus
Scyliorhinus canicula
Siptornopsis hypochondriaca
Sminthopsis douglasi
Spartonoica maluroides
Staurois parvus
Sterna forsteri
Sternula antillarum
Synallaxis albescens
Synallaxis brachyura
Synallaxis candei
Synallaxis gujanensis
Synallaxis propinqua
Synallaxis ruficapilla
Synallaxis rutilans
Synallaxis scutata
Synallaxis spixi
Synallaxis stictothorax
Synallaxis tithys
Syrrhaptes paradoxus
Tadarida brasiliensis
Talpa occidentalis
Tamandua tetradactyla
Tamias sibiricus
Tetrax tetrax
Thalasseus maximus
Thinocorus orbignyianus
Tinca tinca
Tringa melanoleuca
Tupaia glis
Turnix varia
Uria aalge
Ursus americanus
Vanellus resplendens
Alexandromys middendorffii
Alexandromys mongolicus
Arvicola amphibius
Barbus barbus
Blanfordimys afghanus
Blanfordimys bucharensis
Bos primigenius
Chionomys gud
Chionomys nivalis
Cricetulus barabensis
Eolagurus luteus
Eolagurus przewalskii
Lagurus lagurus
Lasiopodomys gregalis
Lasiopodomys mandarinus
Latimeria menadoensis
Mastomys coucha
Mastomys natalensis
Microtus agrestis
Microtus arvalis
Microtus cabrerae
Microtus californicus
Microtus chrotorrhinus
Microtus daghestanicus
Microtus duodecimcostatus
Microtus evoronensis
Microtus fortis
Microtus guentheri
Microtus irani
Microtus longicaudus
Microtus lusitanicus
Microtus majori
Microtus maximowiczii
Microtus miurus
Microtus mujanensis
Microtus pennsylvanicus
Microtus qazvinensis
Microtus richardsoni
Microtus socialis
Muntiacus vaginalis
Myodes rufocanus
Nannospalax judaei
Neodon juldaschi
Otospermophilus beecheyi
Phenacomys intermedius
Antechinus stuartii
Chelydra serpentina
Narke japonica
Oryzias sinensis
Tetraodon fluviatilis
Apteronotus leptorhynchus
Crocodylus palustris
Eptatretus burgeri
Pelusios subniger
Plestiodon inexpectatus
Python regius
Sceloporus undulatus
Sebastes atrovirens
Sebastes caurinus
Sebastes serranoides
Sphenodon punctatus
Thunnus albacares
Typhlonectes natans
Boiga kraepelini
Eptatretus yangi
Gambusia holbrooki
Geotria australis
Mugil cephalus
Osteoglossum bicirrhosum
Garrulax canorus
Lutjanus argentimaculatus
Miichthys miiuy
Acipenser oxyrinchus
Coilia nasus
Eleginops maclovinus
Huso dauricus
Lutjanus sanguineus
Paralichthys dentatus
Pelophylax esculentus
Rana sauteri
Rutilus kutum
Squalius torgalensis
Thalassoma pavo
Onychogalea fraenata
Chiloscyllium plagiosum
Cricetus cricetus
Rucervus eldii
Dentex dentex
Oligocottus maculosus
Oreolalax popei
Scutiger boulengeri
Papio cynocephalus
Atelerix albiventris
Ateles geoffroyi
Carollia perspicillata
Neofelis nebulosa
Arizona elegans
Bogertophis subocularis
Bombina maxima
Cemophora coccinea
Coregonus lavaretus
Fukomys anselli
Ichthyophis tricolor
Lampetra fluviatilis
Lampropeltis alterna
Lampropeltis calligaster
Lampropeltis elapsoides
Lampropeltis extenuata
Lampropeltis getula
Lampropeltis mexicana
Lampropeltis pyromelana
Lampropeltis ruthveni
Lampropeltis triangulum
Pantherophis bairdi
Pantherophis emoryi
Pantherophis guttatus
Pantherophis obsoletus
Pantherophis slowinskii
Pantherophis spiloides
Pituophis catenifer
Pituophis lineaticollis
Pituophis melanoleucus
Pituophis ruthveni
Protopterus aethiopicus
Pseudelaphe flavirufa
Rhinocheilus lecontei
Scaphiopus holbrookii
Scyliorhinus stellaris
Senticolis triaspis
Spea bombifrons
Sternopygus macrurus
Tetronarce californica
Alipiopsitta xanthops
Amazona agilis
Amazona albifrons
Amazona amazonica
Amazona arausiaca
Amazona auropalliata
Amazona autumnalis
Amazona barbadensis
Amazona brasiliensis
Amazona collaria
Amazona dufresniana
Amazona farinosa
Amazona festiva
Amazona finschi
Amazona guildingii
Amazona imperialis
Amazona kawalli
Amazona leucocephala
Amazona ochrocephala
