org1,org2,dst
Chlorocebus sabaeus,Rhinopithecus bieti,0.016789819376026274
Anas platyrhynchos,Anser cygnoides,0.016797407912687586
Gorilla gorilla,Pongo abelii,0.016807056579783854
Delphinapterus leucas,Tursiops truncatus,0.01686384391863844
Serinus canaria,Zonotrichia albicollis,0.016957689724647413
Aquila chrysaetos,Haliaeetus albicilla,0.01697216564833673
Monodon monoceros,Tursiops truncatus,0.01709004543577034
Ailuropoda melanoleuca,Ursus maritimus,0.017114554727344057
Egretta garzetta,Pygoscelis adeliae,0.01716342933690556
Neophocaena asiaeorientalis,Sousa chinensis,0.017321504013519222
Sousa chinensis,Tursiops truncatus,0.01740139211136891
Bubalus bubalis,Ovis aries,0.01750936329588015
Platysternon megacephalum,Terrapene carolina,0.01763322884012539
Oreochromis niloticus,Pundamilia nyererei,0.017687559354226022
Neomonachus schauinslandi,Zalophus californianus,0.017810880829015545
Empidonax traillii,Pipra filicauda,0.017812694461729933
Neophocaena asiaeorientalis,Tursiops truncatus,0.017827356130108423
Chrysemys picta,Platysternon megacephalum,0.017857142857142856
Bos taurus,Ovis aries,0.01787714712471994
Bubalus bubalis,Capra hircus,0.0179176072234763
Corapipo altera,Empidonax traillii,0.01793512164691204
Pan paniscus,Pongo abelii,0.01794239338001273
Myotis brandtii,Myotis davidii,0.018009334415584416
Bos taurus,Capra hircus,0.018111861861861863
Empidonax traillii,Lepidothrix coronata,0.018160377358490565
Haplochromis burtoni,Neolamprologus brichardi,0.01825168107588857
Poecilia formosa,Poecilia reticulata,0.018403441682600382
Eumetopias jubatus,Neomonachus schauinslandi,0.018425925925925925
Neomonachus schauinslandi,Odobenus rosmarus,0.018492769744160177
Geospiza fortis,Serinus canaria,0.0185500340367597
Empidonax traillii,Manacus vitellinus,0.018824306472919418
Aptenodytes forsteri,Fulmarus glacialis,0.01904598490048044
Haliaeetus leucocephalus,Nipponia nippon,0.01907313997477932
Callorhinus ursinus,Neomonachus schauinslandi,0.01916328038418914
Geospiza fortis,Zonotrichia albicollis,0.019230769230769232
Poecilia latipinna,Poecilia reticulata,0.019239961759082217
Nomascus leucogenys,Pongo abelii,0.019363308171972432
Maylandia zebra,Neolamprologus brichardi,0.01939655172413793
Fulmarus glacialis,Haliaeetus albicilla,0.01941660701503221
Aquila chrysaetos,Nipponia nippon,0.01941671865252651
Poecilia mexicana,Poecilia reticulata,0.019452449567723344
Columba livia,Patagioenas fasciata,0.019526034712950602
Astatotilapia calliptera,Neolamprologus brichardi,0.019534995206136146
Aptenodytes forsteri,Egretta garzetta,0.019590163934426228
Bos mutus,Ovis aries,0.019698725376593278
Homo sapiens,Nomascus leucogenys,0.019704634464751958
Haliaeetus albicilla,Pelecanus crispus,0.01970842332613391
Bos mutus,Capra hircus,0.01970873786407767
Meleagris gallopavo,Numida meleagris,0.019754539340954943
Haliaeetus albicilla,Pygoscelis adeliae,0.01975974930362117
Bos indicus,Ovis aries,0.019886363636363636
Apteryx rowi,Dromaius novaehollandiae,0.01990943160524672
Leptonychotes weddellii,Zalophus californianus,0.019937725994375252
Leptonychotes weddellii,Odobenus rosmarus,0.019987946966653274
Phascolarctos cinereus,Vombatus ursinus,0.02000976085895559
Egretta garzetta,Fulmarus glacialis,0.020052083333333335
Pseudopodoces humilis,Sturnus vulgaris,0.020087884494664157
Apteryx australis,Dromaius novaehollandiae,0.02013201320132013
Coturnix japonica,Gallus gallus,0.02020440251572327
Delphinapterus leucas,Physeter catodon,0.020206243032329988
Mus musculus,Mus pahari,0.020219846712384026
Lipotes vexillifer,Sousa chinensis,0.020280393835616438
Nomascus leucogenys,Pan troglodytes,0.02030892448512586
Fulmarus glacialis,Pelecanus crispus,0.02038433908045977
Neolamprologus brichardi,Pundamilia nyererei,0.02044790652385589
Mus caroli,Mus pahari,0.020485969906466044
Myotis davidii,Myotis lucifugus,0.020486688851913477
Aptenodytes forsteri,Nipponia nippon,0.020502225047679592
Takifugu flavidus,Takifugu rubripes,0.02054794520547945
Lonchura striata,Serinus canaria,0.020551257253384914
Orcinus orca,Physeter catodon,0.02057728119180633
Balearica regulorum,Haliaeetus albicilla,0.020625
Gallus gallus,Meleagris gallopavo,0.02063758389261745
Lipotes vexillifer,Tursiops truncatus,0.020648500211237854
Pseudopodoces humilis,Taeniopygia guttata,0.0206656346749226
Erythrura gouldiae,Taeniopygia guttata,0.02071060382916053
Balearica regulorum,Pygoscelis adeliae,0.020718232044198894
Eumetopias jubatus,Leptonychotes weddellii,0.02073293172690763
Fulmarus glacialis,Gavia stellata,0.02074235807860262
Monodon monoceros,Physeter catodon,0.020802514792899407
Chelonia mydas,Terrapene carolina,0.020821114369501466
Aptenodytes forsteri,Aquila chrysaetos,0.020833333333333332
Aptenodytes forsteri,Haliaeetus albicilla,0.02086206896551724
Bos indicus,Capra hircus,0.020875050060072085
